"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 104, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'Pm': 0.00673076923076923}"
Gen,Max Fitness,Average Fitness,Max Fitness Genome
63,0.6875,0.668575,10000010011011001110011110011111101110100010010011001011101111001000111100001001010100010000001100011101
64,0.6875,0.6681875,01010000111100010100110001101001111000001111001011000101001100101010001111011010110111101000000100111101
65,0.6875,0.669825,00101101110010001110010000000101101000111110000010101011000100111110111101110110010110100000001000001101
66,0.6875,0.666175,10010100100110101100100110011100111100110011001011000011010100100100011000100011110111010100001000011101
67,0.6875,0.6694,01111001100110110110010100111011000100010010010010110000110100001000101100011110101111110000001100011101
68,0.6875,0.6667375,10100110011101010110011011100001011000100111001111001001111101000100110001000111000001011100001100001101
69,0.6875,0.665525,11100001010110111010110101111010101000010001010011100010111110101010001001000111000000010100001100011101
70,0.6875,0.666725,01101110100111001011010011110011010100000101110110001011111110000110011111111001111010110000001000011101
71,0.6875,0.6668625,00011011110011001101001000101111111000001001100010000000110000001000101101111110100110010100001000011101
72,0.6875,0.668625,01100010111000000001110111100010110000001110000010001111001111000100100100010011000101011000001100011101
73,0.6875,0.6691875,01010100111101011100010111000111110101101011100010000000101101010000111100110100000111101000000100101101
74,0.6875,0.6685125,11101100110000111001010001010101011000110010000100100000101100001000101110001001101111010000001000011101
75,0.6875,0.6692125,01101000111110011010101001101011010101001100100000100101000101100111111011000111100011001000001100011101
76,0.6875,0.669425,11101110011010101010000100001111011011000000110100100001011100001000001011100111001001010000001000011101
77,0.6875,0.6690625,00100101000110100100011101010101000000110001100010000000011100001000111000000010011010100100001100001101
78,0.6875,0.6657625,01111111111001100111001011100010111000001100101010101101110101010010001101001111101101110000001000011101
79,0.6875,0.66935,11101111000101110000010110000000001110001000011011000010001000001001010100001111000111010000000000001101
80,0.6875,0.66815,11000110001000111000110011111110000100001111000100101010010101000001111111010110100001101000001100111101
81,0.6875,0.6706625,10011010110001101111001001001010111111000000000000100001011100001101001101001101101011010100001000011101
82,0.6875,0.6687875,01100010110101111001110000011011010101001100100101010001101100100001110100010101000101001000001000001101
83,0.6875,0.6685625,00111011001110011000010001111000000000101010001110110010001100001011111001110110000011111000001000011101
84,0.6875,0.6678125,01001110000011001101001010001011000011000100100110001110111011111001000000110010001111110100000100111101
85,0.6875,0.6674875,10000100101101011100010111000111110001100000100000100110001100001000111000011011000001101100001100001101
86,0.6875,0.6672125,01100011000010001011100100110101100110110000100101000111010100001000000000110010100001100000001100011101
87,0.6875,0.6696625,10101110011000111001001001101011010101001001010100101010100110101000011101101101010011101000001000001101
88,0.6875,0.66835,10100100100010011011111001011100011000001000110111001000110101110100101111110011000111111100001100011101
89,0.6875,0.668325,10110010110001110111000100010100000010001110011010100111001101001110000101110111010000111100001000011101
90,0.6875,0.6692125,10011000110100101011011100000110110110111011010111010111011100001010110110110100111101110000001100011101
91,0.6875,0.667525,00111110010001111110010111001011011010011011010110111100100010001000010101110001110000100000000100101101
92,0.6875,0.6670625,10101010110000101011000110101110111001110001000000111111101100000110101111000100010111100000001000011101
